age_ka,d18Ow_IV,SL_m
39272,-0.978,64.685
39271,-0.978,64.67
39270,-0.978,64.656
39269,-0.978,64.64
39268,-0.978,64.616
39267,-0.978,64.592
39266,-0.978,64.568
39265,-0.978,64.542
39264,-0.978,64.503
39263,-0.978,64.465
39262,-0.978,64.427
39261,-0.978,64.395
39260,-0.978,64.38
39259,-0.978,64.366
39258,-0.978,64.351
39257,-0.978,64.336
39256,-0.978,64.338
39255,-0.978,64.377
39254,-0.978,64.416
39253,-0.978,64.462
39252,-0.978,64.52
39251,-0.978,64.579
39250,-0.978,64.638
39249,-0.978,64.691
39248,-0.978,64.735
39247,-0.978,64.78
39246,-0.978,64.824
39245,-0.978,64.852
39244,-0.978,64.86
39243,-0.978,64.869
39242,-0.978,64.877
39241,-0.978,64.872
39240,-0.978,64.854
39239,-0.978,64.836
39238,-0.978,64.818
39237,-0.978,64.799
39236,-0.978,64.777
39235,-0.978,64.756
39234,-0.978,64.735
39233,-0.978,64.721
39232,-0.978,64.71
39231,-0.978,64.7
39230,-0.978,64.689
39229,-0.978,64.673
39228,-0.978,64.654
39227,-0.978,64.635
39226,-0.978,64.616
39225,-0.978,64.574
39224,-0.978,64.524
39223,-0.978,64.474
39222,-0.978,64.425
39221,-0.978,64.377
39220,-0.978,64.329
39219,-0.978,64.281
39218,-0.978,64.274
39217,-0.978,64.274
39216,-0.978,64.274
39215,-0.978,64.274
39214,-0.978,64.274
39213,-0.978,64.33
39212,-0.978,64.391
39211,-0.978,64.452
39210,-0.978,64.512
39209,-0.978,64.574
39208,-0.978,64.636
39207,-0.978,64.697
39206,-0.978,64.757
39205,-0.978,64.758
39204,-0.978,64.76
39203,-0.978,64.761
39202,-0.978,64.757
39201,-0.978,64.705
39200,-0.978,64.653
39199,-0.978,64.601
39198,-0.978,64.549
39197,-0.978,64.497
39196,-0.978,64.445
39195,-0.978,64.392
39194,-0.978,64.349
39193,-0.978,64.341
39192,-0.978,64.332
39191,-0.978,64.323
39190,-0.978,64.321
39189,-0.978,64.334
39188,-0.978,64.347
39187,-0.978,64.361
39186,-0.978,64.369
39185,-0.978,64.367
39184,-0.978,64.364
39183,-0.978,64.362
39182,-0.978,64.359
39181,-0.978,64.355
39180,-0.978,64.352
39179,-0.978,64.378
39178,-0.978,64.408
39177,-0.978,64.438
39176,-0.978,64.468
39175,-0.978,64.497
39174,-0.978,64.553
39173,-0.978,64.636
39172,-0.978,64.718
39171,-0.978,64.801
39170,-0.978,64.891
39169,-0.978,64.986
39168,-0.978,65.081
39167,-0.978,65.1
39166,-0.978,65.1
39165,-0.978,65.1
39164,-0.978,65.1
39163,-0.978,65.1
39162,-0.978,65.1
39161,-0.978,65.1
39160,-0.978,65.1
39159,-0.978,65.1
39158,-0.978,65.1
39157,-0.978,65.1
39156,-0.978,65.1
39155,-0.978,65.1
39154,-0.978,65.1
39153,-0.978,65.1
39152,-0.978,65.1
39151,-0.978,65.1
39150,-0.978,65.1
39149,-0.978,65.1
39148,-0.978,65.1
39147,-0.978,65.1
39146,-0.978,65.1
39145,-0.978,65.1
39144,-0.978,65.1
39143,-0.978,65.1
39142,-0.978,65.1
39141,-0.978,65.1
39140,-0.978,65.1
39139,-0.978,65.1
39138,-0.978,65.1
39137,-0.978,65.1
39136,-0.978,65.1
39135,-0.978,65.1
39134,-0.978,65.1
39133,-0.978,65.1
39132,-0.978,65.1
39131,-0.978,65.1
39130,-0.978,65.1
39129,-0.978,65.1
39128,-0.978,65.1
39127,-0.978,65.1
39126,-0.978,65.1
39125,-0.978,65.1
39124,-0.978,65.1
39123,-0.978,65.1
39122,-0.978,65.1
39121,-0.978,65.1
39120,-0.978,65.1
39119,-0.978,65.1
39118,-0.978,65.1
39117,-0.978,65.1
39116,-0.978,65.1
39115,-0.978,65.1
39114,-0.978,65.1
39113,-0.978,65.1
39112,-0.978,65.1
39111,-0.978,65.1
39110,-0.978,65.1
39109,-0.978,65.1
39108,-0.978,65.1
39107,-0.978,65.1
39106,-0.978,65.1
39105,-0.978,65.1
39104,-0.978,65.1
39103,-0.978,65.1
39102,-0.978,65.1
39101,-0.978,65.1
39100,-0.978,65.1
39099,-0.978,65.1
39098,-0.978,65.1
39097,-0.978,65.1
39096,-0.978,65.1
39095,-0.978,65.1
39094,-0.978,65.1
39093,-0.978,65.1
39092,-0.978,65.1
39091,-0.978,65.1
39090,-0.978,65.1
39089,-0.978,65.1
39088,-0.978,65.1
39087,-0.978,65.1
39086,-0.978,65.1
39085,-0.978,65.1
39084,-0.978,65.1
39083,-0.978,65.1
39082,-0.978,65.1
39081,-0.978,65.1
